2025-10-28 10:00:00 | 1 | Win | 1500
2025-10-27 15:30:00 | 2 | Defeat | 500
2025-10-28 00:16:15 | 4 | Defeat | 900
2025-10-28 00:29:19 | 4 | Defeat | 0
2025-10-28 00:31:21 | 4 | Defeat | 0
2025-10-28 00:31:42 | 1 | Win | 500
2025-10-28 00:40:32 | 4 | Defeat | 0
2025-10-28 01:36:06 | 4 | Defeat | 0
2025-10-28 01:39:23 | 1 | Win | 500
2025-10-28 01:40:38 | 4 | Defeat | 0
2025-10-28 01:40:55 | 1 | Win | 500
2025-10-28 01:41:14 | 1 | Win | 1000
2025-10-28 01:43:57 | 4 | Defeat | 0
2025-10-28 01:44:10 | 1 | Win | 500
2025-10-28 01:44:27 | 1 | Win | 1000
2025-10-28 09:55:38 | 1 | Win | 500
2025-10-28 10:19:55 | 1 | Win | 500
2025-10-28 10:23:33 | 1 | Win | 500
2025-10-28 10:29:36 | 1 | Win | 500
2025-10-28 10:45:28 | 4 | Defeat | 0
2025-10-28 10:49:48 | 4 | Defeat | 0
2025-10-28 10:50:22 | 1 | Win | 500
2025-10-28 10:59:28 | 1 | Win | 500
2025-10-28 10:59:49 | 1 | Win | 1000
2025-10-28 13:13:17 | 4 | Defeat | 0
2025-10-28 13:13:35 | 4 | Defeat | 0
2025-11-04 07:42:42 | 1 | Win | 500
2025-11-04 07:45:02 | 2 | Win | 3500
2025-11-04 07:45:48 | 1 | Win | 4000
2025-11-04 09:56:06 | 4 | Defeat | 0
2025-11-04 09:57:34 | 2 | Defeat | 1200
2025-11-04 10:11:53 | 2 | Defeat | 3700
2025-11-04 11:07:32 | 4 | Defeat | 0
2025-11-04 11:07:57 | 1 | Win | 500
2025-11-04 11:23:15 | 1 | Win | 500
2025-11-04 11:23:43 | 4 | Defeat | 500
2025-11-10 22:27:17 | 4 | Defeat | 0
2025-11-10 23:47:18 | 4 | Defeat | 0
2025-11-11 00:32:49 | 4 | Defeat | 0
2025-11-11 00:44:56 | 4 | Defeat | 0
2025-11-11 00:57:23 | 1 | Defeat | 0
2025-11-11 00:59:22 | 1 | Win | 500
2025-11-11 01:11:55 | 1 | Defeat | 0
2025-11-11 01:20:43 | 1 | Defeat | 0
2025-11-11 01:39:13 | 1 | Win | 500
2025-11-11 09:30:42 | 4 | Defeat | 0
2025-11-11 09:45:05 | 1 | Defeat | 0
2025-11-11 09:45:34 | 1 | Win | 500
2025-11-11 09:47:28 | 4 | Defeat | 0
2025-11-11 09:48:13 | 4 | Defeat | 0
2025-11-11 09:53:04 | 1 | Defeat | 400
2025-11-11 09:57:51 | 4 | Defeat | 0
2025-11-11 09:58:32 | 4 | Defeat | 0
2025-11-11 09:59:14 | 4 | Defeat | 0
2025-11-11 10:01:31 | 4 | Defeat | 0
2025-11-11 10:01:53 | 4 | Defeat | 0
2025-11-11 10:09:36 | 4 | Defeat | 0
2025-11-11 10:10:01 | 4 | Defeat | 0
2025-11-11 10:10:36 | 4 | Defeat | 0
2025-11-11 10:11:56 | 1 | Win | 500
2025-11-11 10:12:54 | 1 | Win | 500
2025-11-11 10:57:23 | 2 | Defeat | 1200
2025-11-11 10:59:32 | 2 | Win | 4200
